net,scenario,arch,norm,lr,meta,ewc,SI,task_order,tsk,epoch,acc_tr,loss_tr,acc_test_tsk_1,loss_test_tsk_1,acc_test_tsk_2,loss_test_tsk_2,acc_test_tsk_3,loss_test_tsk_3,acc_test_tsk_4,loss_test_tsk_4,acc_test_tsk_5,loss_test_tsk_5,acc_test_tsk_6,loss_test_tsk_6
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,1,95.98,0.15078345519701639,95.44,0.16787231063842772,10.83,4.192778466796875,10.19,4.628057763671875,8.89,4.621602978515625,7.78,4.59899306640625,9.68,4.10996240234375
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,2,97.44,0.09111272146701813,96.37,0.12118656005859375,8.45,4.590423193359375,10.13,5.1257103515625,7.87,4.6021923828125,8.32,4.22893388671875,12.91,4.15681435546875
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,3,98.16,0.06726105957428614,96.96,0.098720849609375,10.52,4.44120673828125,8.56,5.50496943359375,11.22,4.512827685546875,8.82,6.30561904296875,13.78,4.19725537109375
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,4,98.06,0.06520671609838803,96.68,0.1001659366607666,10.2,5.418654638671875,9.63,5.903480126953125,10.63,4.8293841796875,9.47,5.05711865234375,10.69,4.889598583984375
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,5,98.79,0.04285720513164997,97.45,0.08436682548522949,11.07,5.48089033203125,9.69,6.893324169921875,11.05,5.413062060546875,9.53,5.23643642578125,11.65,4.750310107421875
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,6,98.87,0.03989052785535654,97.17,0.09030768013000488,9.69,5.81534990234375,12.88,5.970840380859375,11.46,5.71342119140625,6.01,5.487668115234375,8.24,4.5220123046875
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,7,99.06,0.032891677928964295,97.64,0.0821270917892456,9.89,5.283716943359375,9.06,6.847081103515625,11.26,5.99391552734375,9.43,5.45135615234375,13.41,4.446354052734375
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,8,99.1,0.03222345642646154,97.36,0.08456318435668946,10.06,7.07631005859375,9.84,7.0602962890625,10.0,7.059013671875,8.92,5.385979248046875,12.82,5.55361171875
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,9,99.14,0.028634619772434235,97.59,0.07867828388214111,8.64,4.9577052734375,8.88,5.810336279296875,8.2,5.60387109375,9.62,5.065718017578125,14.19,4.61777333984375
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,10,99.26,0.025621168172111113,97.55,0.08134456987380981,10.7,5.394699951171875,9.15,6.454500146484375,8.01,5.900473974609375,9.31,5.80694384765625,9.16,5.77948818359375
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,11,99.41,0.022311863548556965,97.75,0.0706413475036621,10.76,6.7542595703125,10.28,6.643902294921875,9.6,6.3369888671875,10.61,5.55984130859375,8.86,5.727243359375
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,12,99.31,0.023867628725866476,97.59,0.0836205701828003,10.55,6.028751318359375,8.44,5.689857763671875,13.14,5.62464541015625,8.46,5.98075859375,13.6,4.342705737304687
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,13,99.48,0.019736514242490132,97.63,0.0753555435180664,9.36,6.59930927734375,9.73,6.60907607421875,11.52,5.1128302734375,15.23,4.872133984375,8.68,5.33156640625
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,14,99.09,0.032486010757585365,97.3,0.0870974365234375,12.58,6.068289990234375,14.51,6.753331787109375,9.83,5.920383984375,10.41,5.946164404296875,13.31,5.491035205078125
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,15,99.5,0.02124060558130344,97.71,0.07447440357208251,10.35,8.19894306640625,9.65,7.265754150390625,10.45,6.283346044921875,9.24,5.592523583984375,10.46,5.894067138671875
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,16,99.47,0.023477669695019722,97.54,0.07908774738311768,6.76,5.199934130859375,8.05,4.85222255859375,6.29,5.651191943359375,12.62,4.91797685546875,12.64,4.773744580078125
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,17,99.54,0.020618189755578834,97.81,0.07645236110687256,7.99,6.22726728515625,7.94,5.836216845703125,6.49,5.828213427734375,7.47,5.6072095703125,10.92,4.846049755859375
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,18,99.43,0.0254815552264452,97.54,0.08400237274169922,9.03,5.59511494140625,5.8,5.190762451171875,8.88,5.30918818359375,8.38,4.916602099609375,12.35,4.6911974609375
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,19,98.51,0.05555236571331819,96.23,0.12373913497924804,10.56,6.500764111328125,8.45,5.815896728515625,9.42,6.9353328125,7.73,6.2345630859375,9.63,6.14029677734375
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,20,98.8,0.048693192078669865,96.61,0.11679883842468261,9.72,6.434004345703125,12.57,5.482840283203125,7.94,5.667570458984375,13.92,5.2431478515625,9.55,4.088504370117188
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,21,99.5,0.024652413488427796,97.42,0.08471634254455566,10.05,5.27708779296875,6.92,5.364060986328125,8.4,5.842794921875,9.88,5.80008876953125,11.27,4.6356505859375
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,22,99.5,0.030977482093373934,97.45,0.09014149742126465,7.13,6.134605419921875,9.01,5.993018994140625,6.95,5.96307236328125,9.17,6.38076279296875,8.7,5.2547984375
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,23,58.31,1.0993521798451742,58.52,1.1767261901855468,9.36,9.30317373046875,8.82,11.3728462890625,8.8,10.86709970703125,8.92,11.5704828125,8.95,10.7820552734375
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,24,89.68,0.37714698354403176,87.87,0.43509006652832033,8.19,6.437143408203125,10.77,6.211269970703125,8.9,5.563494921875,12.27,5.1454896484375,11.21,4.81522724609375
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,25,75.56,0.6294055124282837,74.31,0.7175841186523437,12.1,6.073871044921875,8.93,6.640933251953125,11.04,6.10008486328125,6.62,5.82455419921875,13.81,5.9517513671875
bnn,task,4096-4096,bn,0.005,"{'l1': 0.5, 'l2': 0.5, 'l3': 0.5}",0.0,0.0,1,pMNIST1,26,67.08,1.0545483338673909,65.92,1.1645629699707032,11.98,7.750375927734375,13.38,7.52994609375,9.88,8.46793994140625,15.67,8.050597802734375,15.59,8.276795361328125
