net,scenario,arch,norm,lr,meta,ewc,SI,task_order,tsk,epoch,acc_tr,loss_tr,acc_test_tsk_1,loss_test_tsk_1,acc_test_tsk_2,loss_test_tsk_2,acc_test_tsk_3,loss_test_tsk_3,acc_test_tsk_4,loss_test_tsk_4,acc_test_tsk_5,loss_test_tsk_5,acc_test_tsk_6,loss_test_tsk_6
bnn,task,4096-4096,bn,0.005,"{'l1': 0.0, 'l2': 0.0, 'l3': 0.0}",0.0,0.0,1,pMNIST1,1,96.17,0.14775440691312153,95.42,0.1670303077697754,5.29,4.116354711914062,8.54,3.870107470703125,11.37,3.9683987548828124,8.73,4.16336435546875,7.8,3.8877941162109373
bnn,task,4096-4096,bn,0.005,"{'l1': 0.0, 'l2': 0.0, 'l3': 0.0}",0.0,0.0,1,pMNIST1,2,97.36,0.0933358316540718,96.06,0.12599440116882324,8.24,4.477444775390625,9.25,4.4334833984375,9.02,4.425538720703125,13.51,4.6486978515625,7.2,4.3169638671875
bnn,task,4096-4096,bn,0.005,"{'l1': 0.0, 'l2': 0.0, 'l3': 0.0}",0.0,0.0,1,pMNIST1,3,97.7,0.0766294739405314,96.82,0.11001139068603516,3.92,5.0154779296875,10.0,5.236076708984375,9.14,5.370062158203125,10.48,5.4110349609375,8.69,5.4211123046875
bnn,task,4096-4096,bn,0.005,"{'l1': 0.0, 'l2': 0.0, 'l3': 0.0}",0.0,0.0,1,pMNIST1,4,98.18,0.05985974885225296,97.03,0.10022654991149903,5.26,5.136169091796875,12.05,4.947243994140625,10.28,5.20671103515625,8.73,5.01929404296875,9.45,4.332896044921875
bnn,task,4096-4096,bn,0.005,"{'l1': 0.0, 'l2': 0.0, 'l3': 0.0}",0.0,0.0,1,pMNIST1,5,98.56,0.048317822311321895,97.18,0.0927484727859497,7.33,4.932896875,9.45,4.748716748046875,9.33,4.813950439453125,11.38,4.37503544921875,10.28,4.59430634765625
bnn,task,4096-4096,bn,0.005,"{'l1': 0.0, 'l2': 0.0, 'l3': 0.0}",0.0,0.0,1,pMNIST1,6,98.47,0.04924873965283235,97.38,0.08408605899810791,9.24,5.451460546875,9.14,5.819521142578125,11.9,5.509971728515625,8.94,6.34219609375,9.22,6.5459552734375
bnn,task,4096-4096,bn,0.005,"{'l1': 0.0, 'l2': 0.0, 'l3': 0.0}",0.0,0.0,1,pMNIST1,7,98.66,0.042973291103045146,97.07,0.09411418876647949,6.75,5.52234765625,10.67,6.199381982421875,10.75,6.03992021484375,9.81,6.792140478515625,9.79,5.298600244140625
bnn,task,4096-4096,bn,0.005,"{'l1': 0.0, 'l2': 0.0, 'l3': 0.0}",0.0,0.0,1,pMNIST1,8,99.12,0.029448346112668514,97.59,0.07924790649414062,8.79,4.9122453125,10.78,4.70124677734375,11.53,5.140069091796875,13.15,5.216989599609375,11.41,4.043305834960938
bnn,task,4096-4096,bn,0.005,"{'l1': 0.0, 'l2': 0.0, 'l3': 0.0}",0.0,0.0,1,pMNIST1,9,99.03,0.03259294707526763,97.27,0.08728345527648926,4.39,5.8794384765625,9.32,5.202976953125,10.77,5.23391318359375,9.55,6.36381181640625,10.73,4.94976728515625
bnn,task,4096-4096,bn,0.005,"{'l1': 0.0, 'l2': 0.0, 'l3': 0.0}",0.0,0.0,1,pMNIST1,10,98.86,0.03824816532085339,97.04,0.09412011184692383,7.86,6.08593427734375,10.06,5.73332197265625,10.36,5.60524990234375,6.62,5.74663388671875,10.42,4.63977734375
