net,scenario,arch,norm,lr,meta,ewc,SI,task_order,tsk,epoch,acc_tr,loss_tr,acc_test_tsk_1,loss_test_tsk_1,acc_test_tsk_2,loss_test_tsk_2,acc_test_tsk_3,loss_test_tsk_3,acc_test_tsk_4,loss_test_tsk_4,acc_test_tsk_5,loss_test_tsk_5,acc_test_tsk_6,loss_test_tsk_6
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,1,96.67,0.13095454795360564,95.94,0.14834051132202147,13.18,4.21180009765625,9.13,4.87553291015625,8.71,4.52505478515625,7.49,4.77140859375,11.02,4.471726123046875
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,2,97.78,0.078439140133063,96.76,0.11019019165039062,11.78,3.9070196533203125,11.75,4.596152294921875,12.82,4.83781171875,7.05,5.653463525390625,17.52,4.020813745117188
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,3,98.81,0.04424948074022929,97.51,0.08196961860656739,12.72,4.703915576171875,9.43,5.47177353515625,11.03,5.174396337890625,5.91,5.8091658203125,9.35,4.60543740234375
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,4,99.08,0.033175460261106494,97.58,0.0811772424697876,9.8,5.2353146484375,9.14,4.94983203125,10.7,4.994262255859375,7.2,5.414157666015625,15.49,4.625785107421875
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,5,99.43,0.021660191898792983,97.79,0.07142978601455688,13.85,5.385674169921875,7.61,6.17208017578125,9.54,5.51813505859375,7.46,6.28662783203125,16.94,5.439256591796875
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,6,99.73,0.011716041800628105,98.0,0.0653184591293335,7.83,6.27668466796875,10.07,6.4640466796875,11.61,5.54055380859375,11.74,6.74763779296875,13.72,5.3531708984375
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,7,99.75,0.010124885431180397,97.99,0.0673787974357605,8.51,6.436593310546875,10.95,6.216051953125,11.91,5.38481875,8.78,6.106772021484375,14.84,5.2500244140625
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,8,99.93,0.0042495090492690605,98.17,0.06622322854995727,8.61,7.0895421875,8.44,7.439781787109375,11.22,6.0451998046875,8.28,8.145444140625,22.58,6.42889326171875
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,9,99.94,0.0033661639863004286,98.17,0.06897538785934448,10.88,8.15072724609375,5.82,8.142890478515625,10.42,7.452962255859375,8.52,7.558639697265625,14.56,6.171175048828125
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,10,99.92,0.003555092804475377,98.17,0.0663011173248291,13.02,7.831274169921875,8.61,8.59217646484375,11.26,8.3647986328125,10.05,9.40348857421875,12.25,7.23265615234375
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,11,99.97,0.002161576274751375,98.02,0.06726118988990784,11.52,9.74818896484375,8.59,9.1649,6.9,9.040362890625,10.37,8.575090283203124,11.64,7.490355419921875
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,12,99.99,0.0011351248226904621,98.23,0.0658815782546997,10.79,9.2402439453125,7.25,9.36283544921875,8.3,8.130619970703124,9.78,8.689763671875,16.31,7.693142578125
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,13,99.99,0.0009486968683854988,98.22,0.06222648544311524,9.22,8.7045029296875,7.61,9.004908203125,7.99,9.34472880859375,9.11,8.25026044921875,13.68,7.096234228515625
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,14,99.98,0.0011044493479731804,98.13,0.07159158039093018,7.96,10.8756943359375,9.19,9.24097744140625,13.08,8.83671826171875,7.4,9.56681572265625,15.83,8.8167029296875
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,15,99.98,0.0008886064549675211,98.21,0.07154820351600646,8.55,10.94278173828125,5.52,9.60404189453125,9.35,9.27791298828125,11.31,8.331618505859375,11.04,8.6744173828125
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,16,99.95,0.001873133668443188,98.08,0.0781345760345459,10.94,10.164537890625,8.2,10.45065693359375,11.24,9.02428134765625,8.83,9.59001474609375,14.36,7.440612890625
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,17,100.0,0.0004280148911095845,98.27,0.06940225133895873,10.13,8.79062744140625,9.97,7.78974619140625,11.98,8.1379943359375,10.92,8.015577685546875,10.76,7.88222265625
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,18,100.0,0.00044442768653389067,98.16,0.06961160659790039,12.63,10.40359287109375,5.47,10.05292353515625,11.3,8.30494697265625,7.2,9.79904951171875,16.19,8.82020732421875
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,19,99.99,0.0005031644535173352,98.16,0.06961053113937378,10.59,9.7172361328125,5.48,9.78477412109375,8.18,8.690821630859375,8.45,8.34760771484375,12.71,8.495779638671875
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,20,100.0,0.0002449560566029201,98.34,0.06958360481262207,11.62,9.94494111328125,10.93,9.17241376953125,8.56,10.0150810546875,9.2,9.70698916015625,12.0,8.304843603515625
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,2,pMNIST2,1,97.09,0.0957401669204235,89.9,0.3629160827636719,95.96,0.14008530197143554,5.95,7.18985068359375,14.79,6.77192802734375,8.08,7.270053076171875,12.65,5.983324609375
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,2,pMNIST2,2,98.31,0.05803022265235583,91.82,0.27392362060546877,96.33,0.11845016288757325,8.37,7.3710013671875,9.91,6.941192236328125,10.12,6.847202978515625,12.16,6.21231728515625
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,2,pMNIST2,3,98.95,0.03720008141100407,88.38,0.37089637298583983,96.94,0.10063829078674316,8.94,7.538012109375,15.78,6.68480869140625,8.87,6.9114685546875,13.86,5.98015595703125
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,2,pMNIST2,4,99.23,0.028598248426616193,89.44,0.3474261047363281,97.05,0.09843743648529053,6.86,7.408007421875,12.77,7.150499560546875,7.38,7.47367578125,14.82,5.87377724609375
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,2,pMNIST2,5,99.63,0.015546711746354898,64.52,1.1010829467773438,97.28,0.09208411979675293,8.45,7.71816748046875,13.38,7.45200166015625,10.76,7.894650634765625,8.41,6.445636865234375
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,2,pMNIST2,6,99.73,0.011729032711684705,91.78,0.2785739501953125,97.2,0.09419562225341797,6.36,7.97769609375,15.04,7.856787353515625,9.16,8.66146533203125,12.76,6.53658466796875
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,2,pMNIST2,7,99.8,0.010263390761365494,64.52,1.203635186767578,97.27,0.0924533317565918,10.12,7.70709658203125,11.94,8.660024609375,7.5,8.48490361328125,10.96,6.58190625
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,2,pMNIST2,8,99.75,0.010274513133987785,92.3,0.26421849060058594,97.24,0.10186659317016601,8.56,8.10915556640625,7.83,10.2558193359375,9.09,9.67315244140625,12.21,7.709484375
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,2,pMNIST2,9,99.94,0.00422438447047025,74.7,0.7987773071289063,97.58,0.08605192279815674,7.3,7.711080419921875,9.07,8.73805537109375,11.77,8.052455419921875,13.82,7.76620263671875
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,2,pMNIST2,10,99.86,0.00617446751135091,77.92,0.684202587890625,97.48,0.098344478225708,6.37,8.799342578125,13.53,9.32570625,9.25,9.4786697265625,12.67,8.05137626953125
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,2,pMNIST2,11,99.95,0.0035581194773626826,96.09,0.14003205909729005,97.55,0.09412180318832397,12.46,8.614485498046875,15.4,9.6125875,7.29,9.84411943359375,15.01,8.199400830078124
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,2,pMNIST2,12,99.94,0.0039768552916124465,81.55,0.6048506866455078,97.45,0.09700776844024658,10.96,8.452706201171875,10.4,9.13927841796875,8.0,9.20579912109375,10.99,7.89677900390625
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,2,pMNIST2,13,99.93,0.004097778897794584,88.88,0.37528331298828127,97.3,0.10762888221740723,10.9,9.74426962890625,13.01,9.71686416015625,10.19,10.83153642578125,9.72,9.88636123046875
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,2,pMNIST2,14,99.98,0.0017242375647338727,74.44,0.8130580932617187,97.6,0.09723598613739014,8.33,9.1987775390625,12.72,9.05338974609375,10.95,8.8594724609375,10.11,8.50375712890625
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,2,pMNIST2,15,99.95,0.0036279438310768456,89.85,0.3310573989868164,97.49,0.10568339424133301,7.12,9.9163447265625,14.61,10.811128125,12.25,10.1781498046875,10.56,9.58045693359375
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,2,pMNIST2,16,99.95,0.0025210791329698017,91.35,0.28449706420898435,97.58,0.1010775691986084,7.84,8.7586939453125,10.64,8.8536,6.31,9.1953482421875,11.2,8.57204697265625
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,2,pMNIST2,17,99.96,0.0023264337385694184,79.4,0.6349306945800781,97.46,0.10814941711425781,8.39,10.3705779296875,10.83,12.9052982421875,9.72,11.1668798828125,9.83,9.34452939453125
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,2,pMNIST2,18,100.0,0.0007201368196401745,92.42,0.2537216644287109,97.67,0.09297595405578614,7.23,9.77339892578125,10.79,11.433361328125,10.09,9.38430263671875,13.15,8.40050537109375
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,2,pMNIST2,19,99.99,0.0007341907117282972,94.54,0.1830331771850586,97.63,0.10215638313293457,10.74,10.41719521484375,15.27,10.66036328125,8.4,11.22575791015625,11.48,9.067408203125
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,2,pMNIST2,20,99.98,0.0015479408534864584,81.9,0.5252678466796875,97.37,0.11084179859161376,8.95,9.2067138671875,10.86,13.00504443359375,6.73,11.43753349609375,10.95,11.30021572265625
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,3,pMNIST3,1,95.89,0.13695101083517075,80.64,0.5846375610351563,95.56,0.17754949989318847,94.51,0.18932326431274413,8.72,11.29864208984375,9.18,8.7817912109375,9.17,11.101754296875
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,3,pMNIST3,2,97.68,0.0750102696398894,86.7,0.4142615203857422,96.64,0.137091854095459,95.6,0.14761464347839356,8.78,8.41165537109375,10.62,7.451418505859375,9.95,7.393246533203125
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,3,pMNIST3,3,98.4,0.05362016180555026,76.44,0.7036121337890625,95.29,0.18299103965759278,95.73,0.13338268928527833,9.73,8.657204296875,10.67,6.94074345703125,9.22,7.917683056640625
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,3,pMNIST3,4,98.95,0.036131838139891626,81.41,0.5531941955566406,95.95,0.16569214897155762,96.15,0.12710001831054688,9.06,10.154562109375,8.46,8.5321626953125,9.06,8.5459423828125
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,3,pMNIST3,5,99.22,0.02849809317092101,89.94,0.32755484313964844,96.52,0.1460755645751953,96.15,0.1277308696746826,9.83,9.4829388671875,10.32,8.018236474609376,12.11,8.1074140625
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,3,pMNIST3,6,99.5,0.02044029091844956,86.94,0.40502932891845705,96.23,0.15581033592224122,96.44,0.11976904563903809,10.16,9.56770087890625,9.14,8.41439384765625,9.9,7.366258837890625
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,3,pMNIST3,7,99.6,0.016611647056788206,86.31,0.4240080810546875,96.14,0.1620859504699707,96.54,0.11624749298095703,8.71,10.2413615234375,11.58,7.9663439453125,11.1,7.90831669921875
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,3,pMNIST3,8,99.59,0.01556295893341303,88.37,0.35149054412841796,96.09,0.155037105178833,96.57,0.12212475814819336,8.28,9.69901171875,10.61,8.6781884765625,9.29,8.365828125
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,3,pMNIST3,9,99.77,0.01103849438391626,86.76,0.40815550994873045,96.57,0.1362938148498535,96.67,0.11474941997528076,9.62,9.9178041015625,9.51,9.25334560546875,9.32,8.53433515625
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,3,pMNIST3,10,99.43,0.0186277642848591,82.28,0.53496044921875,95.32,0.19309460639953613,96.26,0.13342032661437989,9.93,9.28012451171875,8.0,8.80488271484375,9.93,8.6104205078125
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,3,pMNIST3,11,99.81,0.009125364721442262,82.6,0.514105078125,95.87,0.17210637435913087,96.72,0.11393836040496826,10.39,9.79085263671875,8.78,9.334223828125,10.14,9.25251865234375
bnn,task,2048-2048,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,3,pMNIST3,12,99.75,0.010186677635709445,86.72,0.4164353713989258,95.94,0.16121105365753174,96.54,0.12652538871765137,10.85,9.9189353515625,10.58,8.8891412109375,9.39,8.159576025390624
