net,scenario,arch,norm,lr,meta,ewc,SI,task_order,tsk,epoch,acc_tr,loss_tr,acc_test_tsk_1,loss_test_tsk_1,acc_test_tsk_2,loss_test_tsk_2,acc_test_tsk_3,loss_test_tsk_3,acc_test_tsk_4,loss_test_tsk_4,acc_test_tsk_5,loss_test_tsk_5,acc_test_tsk_6,loss_test_tsk_6
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,1,pMNIST1,1,96.3,0.13451406072775524,95.75,0.1501131248474121,11.37,4.097547802734375,14.4,4.028664819335938,14.72,3.642902197265625,13.21,3.9689876708984375,11.51,4.153274365234375
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,1,pMNIST1,2,97.65,0.08465567793846131,96.85,0.11250969009399414,12.18,5.021165576171875,14.99,3.8979701904296875,11.83,4.185858422851562,12.59,4.35661396484375,10.2,4.395884326171875
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,1,pMNIST1,3,98.46,0.05608081384897232,97.18,0.09308022117614746,9.73,5.0224525390625,10.03,4.281543603515625,9.17,4.968142529296875,12.47,4.577713134765625,10.85,4.524098779296875
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,1,pMNIST1,4,98.8,0.04202519263724486,97.24,0.09155398483276367,11.85,5.856317333984375,11.08,4.9215931640625,10.95,4.89288134765625,10.9,5.38617451171875,8.25,5.45764833984375
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,1,pMNIST1,5,99.22,0.027801983996729056,97.75,0.07841914539337158,10.93,6.768476513671875,9.36,5.882660888671875,10.88,6.03419873046875,11.38,6.625823828125,8.45,6.364307373046875
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,1,pMNIST1,6,99.45,0.02064370599637429,97.75,0.07624409084320069,13.25,5.998723779296875,8.86,5.71112470703125,10.38,6.15074912109375,12.06,5.220481689453125,8.99,6.19925478515625
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,1,pMNIST1,7,99.6,0.014865932901948691,97.85,0.07388228740692139,9.15,7.4422224609375,9.97,6.469584228515625,14.14,6.2879763671875,16.29,5.788355859375,8.63,6.901886279296875
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,1,pMNIST1,8,99.8,0.008675287489717205,97.94,0.07181865139007568,10.69,7.14460771484375,9.3,5.864206640625,10.09,5.977667138671875,13.46,5.206510693359375,7.3,6.95473115234375
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,1,pMNIST1,9,99.86,0.006615404128655791,98.14,0.06406320343017578,9.58,7.419603125,7.62,6.203168115234375,13.79,6.593461767578125,10.22,6.296763916015625,11.57,6.509938037109375
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,1,pMNIST1,10,99.86,0.005908404905721545,98.06,0.07047092981338501,10.88,8.409099755859375,11.15,6.683159716796875,14.93,6.7284552734375,9.49,6.941716748046875,9.18,7.352394970703125
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,2,pMNIST2,1,97.04,0.09888073678414026,96.93,0.10100046424865723,95.79,0.1318655097961426,9.6,5.63307294921875,9.51,5.875639794921875,12.96,5.45377919921875,12.14,5.581773095703125
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,2,pMNIST2,2,98.2,0.06143278148770332,95.44,0.15582332763671874,96.43,0.1110716007232666,10.66,5.465365087890625,12.19,5.898252294921875,13.18,5.129591455078125,12.51,5.470157666015625
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,2,pMNIST2,3,98.88,0.04026451487839222,94.62,0.1801560104370117,96.93,0.09757661666870117,8.33,6.31253193359375,10.99,6.109164892578125,14.06,4.98225615234375,12.04,6.0143787109375
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,2,pMNIST2,4,99.05,0.03282259897987048,94.99,0.1693541534423828,96.95,0.09786966857910157,10.17,6.055605615234375,8.34,6.833471435546875,12.79,5.08896708984375,12.68,6.30906962890625
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,2,pMNIST2,5,99.44,0.022362586709608636,91.84,0.26465113067626955,97.38,0.08682415714263916,9.56,6.75152080078125,11.42,6.817087060546875,11.75,5.63142451171875,12.95,6.439632763671875
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,2,pMNIST2,6,99.58,0.015723944904903572,90.83,0.2997637893676758,97.46,0.08493331375122071,12.23,6.93596328125,13.12,7.4241109375,14.47,6.257517822265625,10.83,6.38844658203125
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,2,pMNIST2,7,99.7,0.012488472363228599,89.27,0.3498021728515625,97.55,0.08178443069458008,10.23,6.711774755859375,11.72,7.010472021484375,12.46,6.299849755859375,11.47,6.822921728515625
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,2,pMNIST2,8,99.76,0.009327652391170461,91.34,0.2826770935058594,97.65,0.08105846719741822,9.15,6.617896044921875,10.46,8.344927001953126,12.41,7.161386181640625,11.48,6.752643212890625
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,2,pMNIST2,9,99.85,0.007100275087853273,90.19,0.3100442474365234,97.82,0.0744417070388794,9.15,6.691483349609375,10.63,7.231764404296875,14.04,6.76943212890625,11.74,7.275025244140625
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,2,pMNIST2,10,99.88,0.0061537679998825,89.33,0.35365420837402345,97.6,0.07979494686126709,8.23,7.1263572265625,12.28,8.1081939453125,15.71,7.04798603515625,10.33,7.19268623046875
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,3,pMNIST3,1,96.14,0.12689194108247756,88.5,0.36631109313964844,96.88,0.10770569801330566,94.84,0.1698273609161377,11.18,5.55433271484375,15.14,4.598163330078125,13.08,6.534139306640625
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,3,pMNIST3,2,97.53,0.08317098571062088,89.11,0.3356091186523438,95.8,0.14226902084350587,95.56,0.14484137802124022,11.77,6.0691232421875,17.82,4.73693125,15.37,6.63969814453125
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,3,pMNIST3,3,98.24,0.05891500627199809,90.05,0.3206029724121094,95.89,0.14781588821411132,96.19,0.13124198341369628,10.84,6.28263515625,16.15,5.134241015625,15.94,6.63728916015625
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,3,pMNIST3,4,98.47,0.04841521611412366,89.66,0.3274315155029297,95.06,0.17566751098632813,96.35,0.12098435287475585,11.61,6.923825390625,15.6,5.312262646484375,15.28,7.1189578125
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,3,pMNIST3,5,98.91,0.03628695182899634,89.28,0.3395603240966797,95.43,0.16662789916992188,96.56,0.11116307678222656,8.35,6.850351806640625,15.65,5.3801771484375,16.15,7.069596630859375
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,3,pMNIST3,6,99.14,0.030394162065784137,89.65,0.32920588989257815,94.28,0.20453249588012695,97.03,0.10274102401733398,11.81,6.587948388671875,17.62,5.752321875,15.96,7.98754404296875
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,3,pMNIST3,7,99.32,0.0250998019605875,90.91,0.29822227325439454,94.55,0.18590942459106446,96.65,0.10964455375671386,9.2,6.860443212890625,17.96,5.3983033203125,16.33,7.701417724609375
bnn,task,1024-1024,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,3,pMNIST3,8,99.44,0.021422078355650107,88.95,0.3530673126220703,94.72,0.17996998825073243,96.65,0.11395084419250488,10.3,7.05531279296875,18.6,5.91058076171875,15.25,7.32138251953125
