net,scenario,arch,norm,lr,meta,ewc,SI,task_order,tsk,epoch,acc_tr,loss_tr,acc_test_tsk_1,loss_test_tsk_1,acc_test_tsk_2,loss_test_tsk_2,acc_test_tsk_3,loss_test_tsk_3,acc_test_tsk_4,loss_test_tsk_4,acc_test_tsk_5,loss_test_tsk_5,acc_test_tsk_6,loss_test_tsk_6
bnn,task,4096-4096,bn,0.005,"{'l1': 1.5, 'l2': 1.5, 'l3': 1.5}",0.0,0.0,1,pMNIST1,1,96.55,0.13102037652333579,95.97,0.15111962432861328,8.3,4.493107080078125,8.54,4.16599775390625,11.57,4.310193408203125,5.94,4.68385244140625,8.21,4.246785180664062
bnn,task,4096-4096,bn,0.005,"{'l1': 1.5, 'l2': 1.5, 'l3': 1.5}",0.0,0.0,1,pMNIST1,2,97.74,0.08021838467915852,96.71,0.11256961631774902,11.58,4.126742797851563,6.3,4.216648974609375,10.22,4.222036865234375,5.97,4.314098291015625,7.45,5.00559267578125
bnn,task,4096-4096,bn,0.005,"{'l1': 1.5, 'l2': 1.5, 'l3': 1.5}",0.0,0.0,1,pMNIST1,3,98.11,0.06520622324446837,96.87,0.1018294334411621,8.84,5.503520751953125,8.0,5.251328515625,11.48,5.401275634765625,9.55,4.21324970703125,9.19,5.1600443359375
bnn,task,4096-4096,bn,0.005,"{'l1': 1.5, 'l2': 1.5, 'l3': 1.5}",0.0,0.0,1,pMNIST1,4,98.07,0.06470865137974421,96.87,0.10279077606201172,6.77,5.6195982421875,5.84,5.993342578125,11.29,5.423249951171875,9.19,5.703887939453125,12.55,4.906394091796875
bnn,task,4096-4096,bn,0.005,"{'l1': 1.5, 'l2': 1.5, 'l3': 1.5}",0.0,0.0,1,pMNIST1,5,98.35,0.05360161441961924,96.92,0.1019870777130127,13.82,4.995503466796875,10.56,5.49218701171875,11.74,5.03311767578125,9.41,4.7943447265625,8.89,4.966524365234375
bnn,task,4096-4096,bn,0.005,"{'l1': 1.5, 'l2': 1.5, 'l3': 1.5}",0.0,0.0,1,pMNIST1,6,98.68,0.04424868741333485,96.98,0.0943276237487793,11.09,4.752966748046875,8.15,4.7268025390625,10.44,4.99817138671875,9.19,4.226720336914062,9.94,4.746225732421875
bnn,task,4096-4096,bn,0.005,"{'l1': 1.5, 'l2': 1.5, 'l3': 1.5}",0.0,0.0,1,pMNIST1,7,99.06,0.03307033642977476,97.5,0.0788649040222168,12.18,5.71255,9.53,6.62409736328125,10.34,6.02353642578125,10.78,7.25877939453125,9.76,6.095777294921875
bnn,task,4096-4096,bn,0.005,"{'l1': 1.5, 'l2': 1.5, 'l3': 1.5}",0.0,0.0,1,pMNIST1,8,99.29,0.025305028263231118,97.55,0.07763863143920899,11.99,5.933657763671875,8.4,6.25325380859375,11.53,5.54526416015625,6.62,5.996710888671875,12.03,6.2115177734375
bnn,task,4096-4096,bn,0.005,"{'l1': 1.5, 'l2': 1.5, 'l3': 1.5}",0.0,0.0,1,pMNIST1,9,99.31,0.02368619456291199,97.63,0.077048583984375,13.41,5.355811669921875,11.86,5.35849580078125,12.49,6.005219970703125,7.37,6.13592158203125,14.68,5.781609228515625
bnn,task,4096-4096,bn,0.005,"{'l1': 1.5, 'l2': 1.5, 'l3': 1.5}",0.0,0.0,1,pMNIST1,10,99.58,0.016097319075092674,97.95,0.07118726615905761,9.13,6.085965478515625,9.65,5.550768359375,10.65,5.604359912109375,10.87,5.632084033203125,10.39,5.343161572265625
