net,scenario,arch,norm,lr,meta,ewc,SI,task_order,tsk,epoch,acc_tr,loss_tr,acc_test_tsk_1,loss_test_tsk_1,acc_test_tsk_2,loss_test_tsk_2,acc_test_tsk_3,loss_test_tsk_3,acc_test_tsk_4,loss_test_tsk_4,acc_test_tsk_5,loss_test_tsk_5,acc_test_tsk_6,loss_test_tsk_6
bnn,task,512-512,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,1,pMNIST1,1,96.04,0.14555518874327342,95.56,0.16101226806640626,15.05,4.362925341796875,8.32,4.31044248046875,10.25,4.721716259765625,10.94,4.18002001953125,7.75,4.303021826171875
bnn,task,512-512,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,1,pMNIST1,2,97.33,0.0933836416165034,96.24,0.13032425918579102,16.53,4.36079326171875,10.06,4.169819116210937,12.97,4.04020322265625,7.56,4.492759619140625,7.11,4.324017236328125
bnn,task,512-512,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,1,pMNIST1,3,97.73,0.07647051268219948,96.52,0.112865087890625,11.39,4.508338671875,8.89,4.6024203125,14.67,4.209626171875,11.42,5.10533642578125,8.5,5.00112001953125
bnn,task,512-512,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,1,pMNIST1,4,98.69,0.04764867801765601,97.09,0.09530893287658691,13.6,5.0640859375,9.01,5.23480400390625,13.83,4.75887451171875,7.37,5.486999462890625,11.5,5.192665234375
bnn,task,512-512,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,1,pMNIST1,5,98.91,0.036366755892336365,97.41,0.08681607151031494,10.25,5.989941162109375,7.13,5.699415576171875,11.58,5.318536181640625,8.92,5.938887353515625,10.95,5.111346728515625
bnn,task,512-512,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,1,pMNIST1,6,99.24,0.0261657448147734,97.53,0.0813176788330078,12.54,5.674934130859375,7.95,5.259325390625,14.03,5.060714208984375,8.01,5.868483349609375,9.04,5.09022451171875
bnn,task,512-512,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,1,pMNIST1,7,99.41,0.0210520151031514,97.72,0.07613083896636963,10.07,5.458106787109375,9.63,5.39182890625,8.89,5.3270798828125,10.72,5.837839013671875,7.92,5.371714892578125
bnn,task,512-512,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,1,pMNIST1,8,99.55,0.016345924674967923,97.68,0.07720055589675903,13.29,5.6243466796875,5.77,6.24982255859375,9.37,5.95195400390625,10.07,6.03149580078125,8.75,5.449717724609375
bnn,task,512-512,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,1,pMNIST1,9,99.8,0.00981959295446674,97.9,0.07449849872589111,10.47,6.100663037109375,6.04,6.8545033203125,10.97,5.739298876953125,10.71,6.630926904296875,9.75,6.09268984375
bnn,task,512-512,bn,0.005,"{'l1': 2.0, 'l2': 2.0, 'l3': 2.0}",0.0,0.0,1,pMNIST1,10,99.78,0.009040281014765303,97.89,0.06928303337097168,12.34,6.40834873046875,6.24,6.676523876953125,13.13,5.676485400390625,10.69,6.8896671875,13.45,5.67739462890625
