meta,hid_num,epochs,worker,time_started,time_completed,duration_seconds,path,loss_std,acc_std,loss_mean,acc_mean
0.0,512,20,1,2021-11-21 08:14:42,2021-11-21 09:12:59,3497.0,./results/0.0_512_20,2.5322771633185073,34.335647219762734,4.74695608364741,29.045
0.5,2048,20,1,2021-11-21 09:12:59,2021-11-21 10:11:25,3506.0,./results/0.5_2048_20,6.218444475877257,34.47908897675034,10.460552232662836,27.698333333333334
1.35,512,20,1,2021-11-21 10:11:25,2021-11-21 11:09:59,3514.0,./results/1.35_512_20,0.17451673397799836,5.825772624010195,0.34164843126932776,89.42333333333335
0.0,2048,40,1,2021-11-21 11:09:59,2021-11-21 13:08:14,7095.0,./results/0.0_2048_40,7.626410650113343,35.58204978169002,12.024318877601623,25.673333333333336
1.0,512,40,1,2021-11-21 13:08:14,2021-11-21 15:04:33,6979.0,./results/1.0_512_40,0.2158718750088968,7.593037380829008,0.3562482928593953,88.94833333333332
1.35,2048,40,1,2021-11-21 15:04:33,2021-11-21 17:00:48,6975.0,./results/1.35_2048_40,5.657147950490911,37.30021072326536,3.690910735448202,69.6
2.0,512,40,1,2021-11-21 17:00:48,2021-11-21 18:58:04,7036.0,./results/2.0_512_40,0.25460779874657036,8.720886231723624,0.4460803647359213,85.84833333333334
0.0,2048,10,1,2021-11-21 18:58:04,2021-11-21 19:27:56,1792.0,./results/0.0_2048_10,5.673276645702776,35.33842214926977,8.082050845209757,24.47
0.7,512,10,1,2021-11-21 19:27:56,2021-11-21 19:57:46,1790.0,./results/0.7_512_10,1.7354999085267566,32.09412012607086,3.1760043320020035,38.72666666666667
1.0,2048,10,1,2021-11-21 19:57:46,2021-11-21 20:27:56,1810.0,./results/1.0_2048_10,2.28180497816328,31.407794998481933,4.35353537165324,33.10333333333333
1.5,512,10,1,2021-11-21 20:27:56,2021-11-21 20:58:02,1806.0,./results/1.5_512_10,0.44841982409636094,12.187189038767995,0.6427569066365559,81.13166666666666
2.0,2048,10,1,2021-11-21 20:58:02,2021-11-21 21:28:17,1815.0,./results/2.0_2048_10,0.30557367656666945,9.69560106440029,0.45658632125854487,86.03000000000002
0.7,512,20,1,2021-11-21 21:28:17,2021-11-21 22:28:11,3594.0,./results/0.7_512_20,0.8973337287126969,19.23665086928249,1.1912064267476399,70.27833333333332
1.5,2048,20,1,2021-11-21 22:28:11,2021-11-21 23:27:52,3581.0,./results/1.5_2048_20,1.0644452379909275,15.445532687479572,1.03428451646169,79.94
0.7,512,40,1,2021-11-21 23:27:52,2021-11-22 01:27:18,7166.0,./results/0.7_512_40,0.11073162748753451,2.8528634737750767,0.39819222056070963,88.61500000000001
1.5,2048,40,1,2021-11-22 01:27:18,2021-11-22 03:28:16,7258.0,./results/1.5_2048_40,4.046536481483223,33.35877855477725,2.437209260495504,73.30666666666667
0.0,512,60,1,2021-11-22 03:28:16,2021-11-22 06:30:51,10955.0,./results/0.0_512_60,2.7476118730776213,34.949061026967044,5.562908343315123,26.566666666666666
0.5,2048,60,1,2021-11-22 06:30:51,2021-11-22 09:32:51,10920.0,./results/0.5_2048_60,7.592876757280696,32.77510579693069,6.116192570940654,51.52
1.0,512,60,1,2021-11-22 09:32:51,2021-11-22 12:33:33,10842.0,./results/1.0_512_60,0.22547836188654338,7.778819104894176,0.37032890094121296,88.60666666666667
1.35,2048,60,1,2021-11-22 12:33:33,2021-11-22 15:34:35,10862.0,./results/1.35_2048_60,6.7458727834958,33.993000308887126,2.969543672100702,80.65499999999999
2.0,512,60,1,2021-11-22 15:34:35,2021-11-22 18:30:42,10567.0,./results/2.0_512_60,0.2424910326569303,8.454933273933433,0.44232823063532506,86.14166666666667
0.0,1024,20,2,2021-11-21 08:15:07,2021-11-21 09:13:28,3501.0,./results/0.0_1024_20,2.3153417062626525,34.80577059435212,4.491718295669556,27.163333333333338
0.5,4096,20,2,2021-11-21 09:13:28,2021-11-21 10:11:50,3502.0,./results/0.5_4096_20,9.818112246373119,34.71620049294949,10.17289717950821,26.561666666666667
1.35,1024,20,2,2021-11-21 10:11:50,2021-11-21 11:09:43,3473.0,./results/1.35_1024_20,0.042084930238524755,1.6390688413445802,0.2723613586425781,92.01333333333334
0.0,4096,40,2,2021-11-21 11:09:43,2021-11-21 13:09:24,7181.0,./results/0.0_4096_40,13.647941866618227,35.70974544854668,9.842900050608316,24.97
1.0,1024,40,2,2021-11-21 13:09:24,2021-11-21 15:05:57,6993.0,./results/1.0_1024_40,0.0888616137881753,3.2039829379487403,0.2584776507059733,92.55666666666667
