meta,hid_num,epochs,worker,time_started,time_completed,duration_seconds,path
0.7,512,60,3,2021-11-22 05:38:42,2021-11-22 08:40:25,10903.0,./results/0.7_512_60
1.0,2048,60,3,2021-11-22 08:40:25,2021-11-22 11:43:38,10993.0,./results/1.0_2048_60
1.5,512,60,3,2021-11-22 11:43:38,2021-11-22 14:41:04,10646.0,./results/1.5_512_60
0.0,4096,20,4,2021-11-21 08:16:32,2021-11-21 09:14:18,3466.0,./results/0.0_4096_20
1.0,1024,20,4,2021-11-21 09:14:18,2021-11-21 10:12:37,3499.0,./results/1.0_1024_20
1.35,4096,20,4,2021-11-21 10:12:37,2021-11-21 11:11:15,3518.0,./results/1.35_4096_20
0.5,1024,40,4,2021-11-21 11:11:15,2021-11-21 13:09:06,7071.0,./results/0.5_1024_40
1.0,4096,40,4,2021-11-21 13:09:06,2021-11-21 15:03:48,6882.0,./results/1.0_4096_40
2.0,1024,20,4,2021-11-21 15:03:48,2021-11-21 16:02:53,3545.0,./results/2.0_1024_20
2.0,4096,40,4,2021-11-21 16:02:53,2021-11-21 17:59:12,6979.0,./results/2.0_4096_40
0.5,1024,10,4,2021-11-21 17:59:12,2021-11-21 18:28:48,1776.0,./results/0.5_1024_10
0.7,4096,10,4,2021-11-21 18:28:48,2021-11-21 18:58:23,1775.0,./results/0.7_4096_10
1.35,1024,10,4,2021-11-21 18:58:23,2021-11-21 19:27:59,1776.0,./results/1.35_1024_10
1.5,4096,10,4,2021-11-21 19:27:59,2021-11-21 19:56:58,1739.0,./results/1.5_4096_10
3.0,1024,10,4,2021-11-21 19:56:58,2021-11-21 20:25:48,1730.0,./results/3.0_1024_10
0.7,4096,20,4,2021-11-21 20:25:48,2021-11-21 21:24:33,3525.0,./results/0.7_4096_20
3.0,1024,20,4,2021-11-21 21:24:33,2021-11-21 22:23:16,3523.0,./results/3.0_1024_20
0.7,4096,40,4,2021-11-21 22:23:16,2021-11-22 00:21:13,7077.0,./results/0.7_4096_40
3.0,1024,40,4,2021-11-22 00:21:13,2021-11-22 02:18:31,7038.0,./results/3.0_1024_40
0.0,4096,60,4,2021-11-22 02:18:31,2021-11-22 05:12:51,10460.0,./results/0.0_4096_60
0.7,1024,60,4,2021-11-22 05:12:51,2021-11-22 08:08:22,10531.0,./results/0.7_1024_60
1.0,4096,60,4,2021-11-22 08:08:22,2021-11-22 11:06:56,10714.0,./results/1.0_4096_60
1.5,1024,60,4,2021-11-22 11:06:56,2021-11-22 14:02:28,10532.0,./results/1.5_1024_60
0.5,512,20,5,2021-11-21 08:17:23,2021-11-21 09:16:35,3552.0,./results/0.5_512_20
1.0,2048,20,5,2021-11-21 09:16:35,2021-11-21 10:16:06,3571.0,./results/1.0_2048_20
0.0,512,40,5,2021-11-21 10:16:06,2021-11-21 12:14:23,7097.0,./results/0.0_512_40
0.5,2048,40,5,2021-11-21 12:14:23,2021-11-21 14:11:53,7050.0,./results/0.5_2048_40
1.35,512,40,5,2021-11-21 14:11:53,2021-11-21 16:10:29,7116.0,./results/1.35_512_40
2.0,2048,20,5,2021-11-21 16:10:29,2021-11-21 17:07:50,3441.0,./results/2.0_2048_20
0.0,512,10,5,2021-11-21 17:07:50,2021-11-21 17:37:15,1765.0,./results/0.0_512_10
0.5,2048,10,5,2021-11-21 17:37:15,2021-11-21 18:06:36,1761.0,./results/0.5_2048_10
1.0,512,10,5,2021-11-21 18:06:36,2021-11-21 18:36:16,1780.0,./results/1.0_512_10
1.35,2048,10,5,2021-11-21 18:36:16,2021-11-21 19:05:56,1780.0,./results/1.35_2048_10
2.0,512,10,5,2021-11-21 19:05:56,2021-11-21 19:35:11,1755.0,./results/2.0_512_10
3.0,2048,10,5,2021-11-21 19:35:11,2021-11-21 20:05:32,1821.0,./results/3.0_2048_10
1.5,512,20,5,2021-11-21 20:05:32,2021-11-21 21:05:38,3606.0,./results/1.5_512_20
3.0,2048,20,5,2021-11-21 21:05:38,2021-11-21 22:03:27,3469.0,./results/3.0_2048_20
1.5,512,40,5,2021-11-21 22:03:27,2021-11-22 00:02:12,7125.0,./results/1.5_512_40
3.0,2048,40,5,2021-11-22 00:02:12,2021-11-22 02:02:29,7217.0,./results/3.0_2048_40
0.5,512,60,5,2021-11-22 02:02:29,2021-11-22 05:03:39,10870.0,./results/0.5_512_60
0.7,2048,60,5,2021-11-22 05:03:39,2021-11-22 08:06:30,10971.0,./results/0.7_2048_60
1.35,512,60,5,2021-11-22 08:06:30,2021-11-22 11:06:15,10785.0,./results/1.35_512_60
1.5,2048,60,5,2021-11-22 11:06:15,2021-11-22 14:06:09,10794.0,./results/1.5_2048_60
0.5,1024,20,6,2021-11-21 08:17:48,2021-11-21 09:15:36,3468.0,./results/0.5_1024_20
