net,scenario,arch,norm,lr,meta,ewc,SI,task_order,tsk,epoch,acc_tr,loss_tr,acc_test_tsk_1,loss_test_tsk_1,acc_test_tsk_2,loss_test_tsk_2,acc_test_tsk_3,loss_test_tsk_3,acc_test_tsk_4,loss_test_tsk_4,acc_test_tsk_5,loss_test_tsk_5,acc_test_tsk_6,loss_test_tsk_6
bnn,task,512-512,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,1,96.49,0.13497070934375127,95.58,0.15480481719970704,8.57,3.965807958984375,14.69,3.7634118408203125,11.61,4.195332568359375,7.15,3.848458154296875,10.03,3.8244127685546876
bnn,task,512-512,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,2,97.62,0.08870541042486826,96.56,0.11939727554321289,13.33,4.317161865234375,12.75,4.256058642578125,8.9,4.9868017578125,9.52,4.626878759765625,11.73,4.31749599609375
bnn,task,512-512,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,3,98.32,0.05753442474802335,97.16,0.0958092441558838,12.21,5.389488818359375,11.18,4.64578837890625,9.39,5.551779345703125,13.24,4.725498095703125,9.89,4.784529443359375
bnn,task,512-512,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,4,98.69,0.04451796480417251,96.99,0.09981988105773926,12.39,5.64092998046875,13.22,4.841322119140625,9.68,5.46462265625,8.94,5.484766162109375,10.4,5.6653115234375
bnn,task,512-512,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,5,99.34,0.02672129286279281,97.55,0.08128963623046875,11.58,5.94406279296875,11.33,5.066450537109375,8.5,5.907275927734375,13.16,4.91365966796875,12.16,5.0876205078125
bnn,task,512-512,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,6,99.47,0.020437738391260306,97.68,0.07649892654418945,10.55,6.37896572265625,11.28,5.352694140625,10.03,7.0113724609375,9.21,6.12381513671875,12.71,5.951071435546875
bnn,task,512-512,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,7,99.69,0.013440167541181047,97.78,0.07759485321044922,11.66,5.885842578125,13.07,6.303396533203125,10.08,6.90935634765625,9.74,5.7274302734375,9.49,5.870019970703125
bnn,task,512-512,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,8,99.73,0.011365821010867755,97.71,0.07954393997192383,12.04,7.12492392578125,8.22,6.1959267578125,11.13,6.519761572265625,10.68,6.67061953125,8.07,6.774991015625
bnn,task,512-512,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,9,99.84,0.00755502753102531,97.92,0.0757724061012268,8.86,6.98763193359375,10.57,6.8113275390625,8.79,6.984890576171875,10.44,6.629471337890625,7.78,6.9698263671875
bnn,task,512-512,bn,0.005,"{'l1': 3.0, 'l2': 3.0, 'l3': 3.0}",0.0,0.0,1,pMNIST1,10,99.89,0.005649891974776983,97.93,0.07518185768127442,11.04,7.06077509765625,11.35,7.157581689453125,9.22,7.475197021484375,11.85,6.512602294921875,9.11,6.9241326171875
