net,scenario,arch,norm,lr,meta,ewc,SI,task_order,tsk,epoch,acc_tr,loss_tr,acc_test_tsk_1,loss_test_tsk_1,acc_test_tsk_2,loss_test_tsk_2,acc_test_tsk_3,loss_test_tsk_3,acc_test_tsk_4,loss_test_tsk_4,acc_test_tsk_5,loss_test_tsk_5,acc_test_tsk_6,loss_test_tsk_6
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,1,96.51,0.13562183978557588,95.71,0.1600931297302246,4.9,4.46749765625,8.55,4.59842138671875,16.71,4.242007275390625,7.0,3.9207614501953123,6.95,4.67006376953125
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,2,97.37,0.09054941411415736,96.32,0.12148335342407227,6.51,4.841547314453125,9.47,4.617878173828125,9.04,4.881013623046875,8.43,5.51676826171875,8.31,5.1806275390625
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,3,98.18,0.0635307894150416,97.05,0.10144419250488282,10.54,4.617503466796875,8.94,4.514073046875,16.08,4.7517576171875,7.86,5.282018798828125,9.01,5.3954595703125
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,4,98.83,0.04020087059636911,97.44,0.08126586360931397,8.22,5.165919921875,11.9,4.2007947265625,16.85,4.562055419921875,11.36,4.38588779296875,4.68,5.20857392578125
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,5,98.88,0.038868876280387245,97.2,0.08726571960449218,11.14,5.5796810546875,15.48,4.339504565429688,16.18,4.9509158203125,9.29,5.40311796875,8.06,5.16752001953125
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,6,98.79,0.03901872433225314,97.03,0.09480480041503907,7.33,5.7909865234375,12.4,5.3329015625,20.8,4.6526787109375,7.47,5.82795595703125,6.98,5.7255576171875
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,7,99.48,0.019792300010224185,97.68,0.073880743598938,7.77,6.639721630859375,12.96,6.3948146484375,22.47,5.769753955078125,12.3,5.5945072265625,5.91,6.008114990234375
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,8,99.56,0.016458073771496613,97.66,0.07658651294708252,7.53,7.497142041015625,14.78,6.30997822265625,16.96,6.151558935546875,11.72,5.968499169921875,5.67,6.869682080078125
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,9,99.67,0.012300850919385752,97.91,0.0686282922744751,7.62,6.0893583984375,14.32,6.4225236328125,18.32,6.51791953125,8.8,6.118953466796875,5.78,7.189930126953125
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,10,99.65,0.012256616500144204,97.84,0.07567225751876831,7.33,7.3472900390625,9.5,6.8218732421875,15.53,6.96985927734375,10.79,7.205808349609375,7.88,6.3490611328125
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,11,99.78,0.00863145525654157,97.76,0.07427188539505004,10.2,6.333353125,12.35,6.520295361328125,17.16,6.975409130859375,9.11,6.4601708984375,8.51,6.677993798828125
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,12,99.77,0.008892999947133164,98.02,0.06989642419815063,8.01,6.155471923828125,10.34,6.199302978515625,15.82,6.6730970703125,7.38,6.318747607421875,6.87,6.2034626953125
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,13,99.89,0.005460104909663399,98.01,0.0662833863735199,9.63,6.70507607421875,11.4,6.737058349609375,14.91,7.763120947265625,7.38,7.524458251953125,8.54,6.85393994140625
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,14,99.81,0.006920502038362125,97.92,0.07203288116455078,8.57,8.174164013671875,12.51,6.5031357421875,15.11,7.002780419921875,6.67,7.48779306640625,9.29,6.2454791015625
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,15,99.82,0.006712554710296293,97.91,0.07558392639160157,7.94,7.019476220703125,12.67,6.40306689453125,17.07,6.7463462890625,8.3,7.356423779296875,9.53,7.001215234375
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,16,99.89,0.004900453119849165,98.07,0.06840315141677857,9.67,8.223740478515625,14.11,6.382476708984375,14.81,8.9839275390625,8.2,7.82957998046875,8.16,6.9130392578125
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,17,99.83,0.005849514470839252,97.92,0.08017156410217285,9.56,7.2894119140625,12.13,7.5629876953125,12.93,8.668601806640625,6.69,9.0140623046875,6.52,8.405866943359374
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,18,99.91,0.004092036273671935,97.95,0.07403960866928101,10.05,8.046887255859374,12.77,6.579399560546875,13.86,8.545779638671876,6.76,7.820015087890625,6.12,7.362020751953125
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,19,99.83,0.0058435788215448455,97.85,0.0791921914100647,8.89,6.604218115234375,11.2,7.5695720703125,15.47,7.17037060546875,7.48,8.3434099609375,7.83,7.6367794921875
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,20,99.95,0.0030012013068112233,97.93,0.07965464315414429,11.03,8.412138525390626,14.6,6.695273388671875,17.65,6.89197431640625,10.95,7.3301091796875,7.81,7.931895947265625
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,2,pMNIST2,1,96.25,0.13253914758761723,37.35,7.420037353515625,95.14,0.1619902687072754,10.97,5.98584599609375,11.72,6.356189599609375,8.72,4.94488544921875,4.24,5.30224677734375
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,2,pMNIST2,2,91.61,0.24256791610717773,35.62,7.2457337890625,90.26,0.2946118362426758,9.68,6.182565234375,10.11,7.257262548828125,8.83,5.810189794921875,7.35,5.58521162109375
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,2,pMNIST2,3,97.31,0.08948606301546097,25.95,9.23756513671875,95.37,0.14870715789794922,10.78,6.3844458984375,10.51,7.294503515625,9.42,5.873495703125,7.12,5.996143408203125
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,2,pMNIST2,4,99.06,0.03664694466094176,32.13,6.6439140625,97.09,0.09750697441101074,11.23,7.42668544921875,12.22,7.02072978515625,8.66,5.24317529296875,7.25,5.735880810546875
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,2,pMNIST2,5,80.19,0.5776531146685282,36.9,7.00379384765625,79.21,0.6735860809326172,10.28,12.414370703125,11.31,9.76852470703125,10.06,8.7912412109375,9.66,8.8771318359375
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,2,pMNIST2,6,99.15,0.0315445717856288,30.4,8.8492806640625,96.97,0.09780710105895996,13.46,7.223960693359375,10.76,8.185452294921875,9.33,5.9349390625,6.75,5.655858642578125
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,2,pMNIST2,7,58.09,1.717955211385091,36.41,6.422514501953125,57.82,1.8555959716796875,13.99,8.7252236328125,12.54,8.035315087890625,9.45,9.31105185546875,12.03,10.00423125
